Soil Moisture (%),Soil Humidity (%),Rain Drop Level (mm),Temperature,Recommended Crop,Best ML Algorithm
21.85430535,58.68204092,218.9994933,29.14433705,Cotton,Decision Tree Classifier
47.78214379,56.64560481,55.35359868,23.77877361,Maize,Random Forest Classifier
37.93972738,48.80769563,103.9919083,38.93495575,Cotton,Decision Tree Classifier
31.93963179,70.36333351,198.9841911,16.56935353,Cotton,Decision Tree Classifier
12.02083882,63.83120803,144.6268034,27.63569248,Cotton,Decision Tree Classifier
12.01975342,83.28504962,221.5713116,31.00630045,Cotton,Decision Tree Classifier
7.613762548,41.60547902,288.3623704,34.76693468,Cotton,Decision Tree Classifier
43.97792656,72.19339638,34.96400631,22.20913091,Maize,Random Forest Classifier
32.05017553,78.14744393,212.8703149,30.60765723,Wheat,Random Forest Classifier
36.863266,77.97432846,69.10324669,19.09604414,Pulses,Random Forest Classifier
5.926302243,84.30369835,124.3430182,23.06428277,Cotton,Decision Tree Classifier
48.64594335,76.45168714,9.858817739,36.86881394,Millets,Random Forest Classifier
42.45991884,86.39050308,40.77221469,38.49722828,Millets,Random Forest Classifier
14.55525998,56.63282999,95.93318671,31.56452041,Cotton,Decision Tree Classifier
13.18212352,65.16047084,102.5957416,21.23055672,Cotton,Decision Tree Classifier
13.25320294,40.70398316,269.8755649,34.6017337,Cotton,Decision Tree Classifier
18.69090093,40.34787937,222.5438728,10.77601245,Cotton,Decision Tree Classifier
28.61403942,52.00633102,291.6548905,13.08237732,Cotton,Decision Tree Classifier
24.43752584,45.04035986,179.7214531,29.84121209,Cotton,Decision Tree Classifier
18.10531131,53.0105684,72.51411963,18.73745726,Pulses,Random Forest Classifier
32.53338026,48.85216473,98.29650898,38.54158655,Cotton,Decision Tree Classifier
11.27722373,41.42600124,95.95077699,23.08181836,Cotton,Decision Tree Classifier
18.14650918,85.46520732,97.9482983,22.88094461,Pulses,Random Forest Classifier
21.48628295,40.41115657,201.8892519,30.34238531,Cotton,Decision Tree Classifier
25.52314929,76.80410722,159.2423784,33.02705687,Cotton,Decision Tree Classifier
40.33291826,47.60739435,115.6272534,24.26676214,Cotton,Decision Tree Classifier
13.9853202,85.6114811,44.72693062,16.42002705,Cotton,Decision Tree Classifier
28.14054973,84.63979698,6.641748883,33.19925928,Maize,Random Forest Classifier
31.6586556,72.69505732,65.65040328,19.61053825,Pulses,Random Forest Classifier
7.090268572,73.61170749,32.24142119,15.25332308,Cotton,Decision Tree Classifier
32.33951834,40.2669571,235.6335093,28.9492057,Cotton,Decision Tree Classifier
12.67358557,89.24357831,33.74938734,12.71361001,Cotton,Decision Tree Classifier
7.927321684,83.89163018,217.2684712,39.14058025,Cotton,Decision Tree Classifier
47.69984918,84.75531129,115.6976069,28.97191793,Wheat,Random Forest Classifier
