SoilMoisture,Humidity,RainDrop,Temperature,N,P,K,pH,RecommendedCrop
678.0,35.5,679.0,29.5,49.0,34.0,30.0,7.5,Cotton
678.0,35.6,0.0,29.5,41.0,24.0,34.0,6.8,Cotton
677.0,35.6,678.0,29.5,37.0,25.0,25.0,7.4,Cotton
6678.0,35.6,0.0,29.5,49.0,35.0,44.0,6.9,Cotton
678.0,35.6,678.0,29.5,44.0,34.0,22.0,7.5,Cotton
0.0,35.6,0.0,29.5,92.0,52.0,79.0,7.1,Cotton
6678.0,35.6,678.0,29.4,48.0,21.0,31.0,6.9,Cotton
677.0,35.5,678.0,29.5,52.0,28.0,27.0,7.5,Cotton
678.0,35.5,0.0,29.5,40.0,33.0,45.0,7.0,Cotton
6678.0,35.5,678.0,29.4,49.0,26.0,24.0,7.2,Cotton
0.0,35.5,0.0,29.5,113.0,58.0,75.0,7.5,Cotton
678.0,35.5,678.0,29.5,33.0,34.0,34.0,7.2,Cotton
6678.0,35.5,678.0,29.5,45.0,35.0,32.0,6.9,Cotton
677.0,35.5,678.0,29.4,30.0,34.0,38.0,7.3,Cotton
677.0,35.6,678.0,29.4,49.0,37.0,37.0,7.4,Cotton
6677.0,35.5,0.0,29.4,51.0,20.0,37.0,7.1,Cotton
678.0,35.6,678.0,29.4,52.0,26.0,31.0,7.1,Cotton
0.0,35.6,0.0,29.4,100.0,47.0,97.0,7.4,Cotton
6677.0,35.6,677.0,29.4,47.0,36.0,38.0,7.4,Cotton
0.0,35.5,0.0,29.4,112.0,42.0,88.0,7.0,Cotton
677.0,35.6,678.0,29.4,38.0,26.0,49.0,7.2,Cotton
6677.0,35.6,678.0,29.4,50.0,39.0,35.0,6.9,Cotton
677.0,35.6,0.0,29.4,44.0,21.0,37.0,7.0,Cotton
677.0,35.6,678.0,29.4,38.0,22.0,45.0,6.9,Cotton
0.0,35.6,0.0,29.4,99.0,48.0,69.0,7.2,Cotton
678.0,35.6,678.0,29.4,38.0,39.0,31.0,7.2,Cotton
677.0,35.7,678.0,29.4,53.0,20.0,37.0,7.4,Cotton
0.0,0.0,0.0,29.4,94.0,72.0,56.0,7.3,Cotton
0.0,0.0,0.0,29.4,110.0,48.0,54.0,6.9,Cotton
0.0,0.0,0.0,29.4,83.0,56.0,63.0,7.0,Cotton
0.0,0.0,0.0,29.4,93.0,65.0,95.0,7.1,Cotton
0.0,0.0,0.0,29.4,116.0,62.0,77.0,7.3,Cotton
0.0,0.0,0.0,29.4,103.0,72.0,89.0,7.4,Cotton
0.0,0.0,0.0,29.4,119.0,43.0,55.0,7.3,Cotton
0.0,0.0,0.0,29.4,86.0,53.0,67.0,7.5,Cotton
0.0,0.0,0.0,29.4,90.0,46.0,91.0,7.0,Cotton
0.0,0.0,0.0,29.4,97.0,50.0,59.0,7.3,Cotton
0.0,0.0,0.0,29.4,79.0,76.0,75.0,7.0,Cotton
0.0,0.0,0.0,29.4,90.0,53.0,60.0,7.0,Cotton
